,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
0,Cessna,3508,122,3630,0.966
1,Piper,1635,60,1695,0.965
2,Boeing,726,512,1238,0.586
3,Beech,565,35,600,0.942
4,Air Tractor,438,10,448,0.978
5,Grumman,292,4,296,0.986
6,Airbus,164,124,288,0.569
7,Douglas,128,51,179,0.715
8,Embraer,114,27,141,0.809
9,Cirrus,131,6,137,0.956
10,Bombardier,99,24,123,0.805
11,Rockwell,81,4,85,0.953
12,Mooney,79,4,83,0.952
13,Aviat,72,5,77,0.935
14,Dehavilland,73,2,75,0.973
15,De Havilland,66,9,75,0.88
16,Aero Commander,67,1,68,0.985
17,Bellanca,65,0,65,1.0
18,Ayres,53,2,55,0.964
19,Swearingen,42,6,48,0.875
20,Diamond Aircraft Ind Inc,46,1,47,0.979
21,Learjet,42,2,44,0.955
22,Aeronca,43,1,44,0.977
23,Ayres Corporation,41,0,41,1.0
24,Diamond,35,1,36,0.972
25,Champion,32,0,32,1.0
26,Raytheon Aircraft Company,30,0,30,1.0
27,Maule,28,0,28,1.0
28,Beechcraft,27,0,27,1.0
29,North American,26,1,27,0.963
30,Lockheed,21,6,27,0.778
31,Fairchild,22,5,27,0.815
32,Gulfstream,23,2,25,0.92
33,Weatherly,25,0,25,1.0
34,Socata,24,1,25,0.96
35,Bae,12,8,20,0.6
36,Schweizer Aircraft Corp,18,1,19,0.947
37,Mitsubishi,17,2,19,0.895
38,Luscombe,18,0,18,1.0
39,Vans,17,1,18,0.944
40,Rans,14,3,17,0.824
41,Atr,10,7,17,0.588
42,Pilatus,13,3,16,0.812
43,Taylorcraft,16,0,16,1.0
44,Stinson,16,0,16,1.0
45,Raytheon,14,1,15,0.933
46,Fokker,11,4,15,0.733
47,Costruzioni Aeronautiche Tecna,15,0,15,1.0
48,Wsk Pzl Mielec,15,0,15,1.0
49,Canadair,11,3,14,0.786
50,Helio,14,0,14,1.0
51,Flight Design Gmbh,14,0,14,1.0
52,Evektor-Aerotechnik As,13,0,13,1.0
53,Saab,10,3,13,0.769
54,American Champion Aircraft,12,0,12,1.0
55,Cub Crafters Inc,11,1,12,0.917
56,Eagle,12,0,12,1.0
57,Thrush Aircraft Inc,11,1,12,0.917
58,Gulfstream Aerospace,10,2,12,0.833
59,Britten Norman,11,1,12,0.917
60,Israel Aircraft Industries,11,0,11,1.0
61,British Aerospace,7,4,11,0.636
62,Schweizer,11,0,11,1.0
63,Britten-Norman,10,0,10,1.0
64,Waco,10,0,10,1.0
65,Gulfstream-Schweizer A/C Corp,9,0,9,1.0
66,Curtiss Wright,9,0,9,1.0
67,Embraer S A,7,2,9,0.778
68,Convair,8,1,9,0.889
69,Learjet Inc,8,1,9,0.889
70,Pitts,9,0,9,1.0
71,Hawker,8,0,8,1.0
72,Ercoupe,8,0,8,1.0
73,Piaggio,8,0,8,1.0
74,Lancair,8,0,8,1.0
75,Tecnam,8,0,8,1.0
76,Gates Learjet Corp.,8,0,8,1.0
77,General Atomics,7,1,8,0.875
78,Robin,5,2,7,0.714
79,Zenith,6,1,7,0.857
80,Short Bros,7,0,7,1.0
81,Gates Learjet,6,1,7,0.857
82,Diamond Aircraft Industries,7,0,7,1.0
83,Aircraft Mfg & Dev. Co. (Amd),7,0,7,1.0
84,Snow,7,0,7,1.0
85,Gulfstream-Schweizer,7,0,7,1.0
86,Quicksilver,6,0,6,1.0
87,Dornier,5,1,6,0.833
88,Dassault-Breguet,6,0,6,1.0
89,Hawker Siddeley,3,3,6,0.5
90,Saab-Scania Ab (Saab),3,3,6,0.5
91,Embraer-Empresa Brasileira De,6,0,6,1.0
92,Reims,5,1,6,0.833
93,Zenair,6,0,6,1.0
94,Dassault,4,2,6,0.667
95,Remos Aircraft Gmbh,6,0,6,1.0
96,Cub Crafters,6,0,6,1.0
97,Flight Design,6,0,6,1.0
98,American Legend Aircraft Co,6,0,6,1.0
99,Great Lakes,6,0,6,1.0
100,Diamond Aircraft Ind Gmbh,5,0,5,1.0
101,Lake,5,0,5,1.0
102,Antonov,3,2,5,0.6
103,Raytheon Corporate Jets,3,2,5,0.6
104,Gulfstream American,3,2,5,0.6
105,Pilatus Aircraft Ltd,5,0,5,1.0
106,Callair,5,0,5,1.0
107,Thrush,5,0,5,1.0
108,Aero Vodochody,5,0,5,1.0
109,Smith,5,0,5,1.0
110,Gulfstream American Corp,3,1,4,0.75
111,Dassault/Sud,3,1,4,0.75
112,Gates Lear Jet,3,1,4,0.75
113,Pzl Mielec,4,0,4,1.0
114,Quest,4,0,4,1.0
115,Tl Ultralight Sro,4,0,4,1.0
116,Cassutt,4,0,4,1.0
117,Jabiru Usa Sport Aircraft Llc,4,0,4,1.0
118,Siai-Marchetti,4,0,4,1.0
119,Quest Aircraft Company Llc,4,0,4,1.0
120,Engineering & Research,4,0,4,1.0
121,Short Bros. & Harland,4,0,4,1.0
122,Liberty Aerospace Incorporated,4,0,4,1.0
123,Yakovlev,4,0,4,1.0
124,American Champion (Acac),4,0,4,1.0
125,Beech Aircraft Corporation,4,0,4,1.0
126,Classic Aircraft Corp,4,0,4,1.0
127,Navion,4,0,4,1.0
128,Avid,4,0,4,1.0
129,Czech Sport Aircraft As,4,0,4,1.0
130,Canadair Ltd,4,0,4,1.0
131,Amateur Construction,4,0,4,1.0
132,Liberty Aerospace Inc.,3,0,3,1.0
133,Casa,2,1,3,0.667
